baklava_name,baklava_size,baklava_price,baklava_image_url
Pistachio Belle Kiss Baklava ,S Box),"
€28,73
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-dilber-dudagi-s-kutu-2ad-ef.jpg
Dry Baklava ,S Box),"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/kuru-baklava-s-kutu-5a59af.jpg
Premium Ankara Walnut Baklava S Box,,"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-ankara-s-kutu-3ec199.jpg
Walnut Square Baklava ,XL Box),"
€40,22
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-kare-baklava-s-kutu-c-886b.jpg
Mixed Ottoman Kadayif ,Large Box),"
€51,71
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-osmanli-kadayifi-l-kutu-dce-07.jpg
Fıstıklı Osmanlı Kadayıfı ,L Kutu),"
€51,71
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-osmanli-kadayifi-l-kutu--cd59-.jpg
Sütlü Osmanlı Kadayıfı ,L Kutu),"
€51,71
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/sutlu-osmanli-kadayifi-l-kutu-a292db.jpg
Pomenegrade Ottoman Kadayif ,L Box),"
€51,71
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/narli-osmanli-kadayifi-l-kutu-f4-be5.jpg
Mixed Ottoman Kadayif ,S Box),"
€32,17
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-osmanli-kadayifi-s-kutu-b9-a42.jpg
Ottoman Pomenegrade Kadayıf ,S Box),"
€32,17
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/narli-osmanli-kadayifi-s-kutu-2f5-f2.jpg
Milky Ottoman Kadayif ,S),"
€32,17
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/sutlu-osmanli-kadayifi-s-beffd4.jpg
Mixed Ottoman Kadayif ,500 Gr),"
€14,94
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-osmanli-kadayifi-500-gr-9cf76e.jpg
Fıstıklı Osmanlı Kadayıfı ,S Box),"
€32,17
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-osmanli-kadayifi-s-kutu--d2aa-.jpg
Pistachio Halep Kadayif ,1 Kg),"
€22,98
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-halep-kadayifi-s-kutu-2d-507.jpg
Halep Turkish Kadayif With Pistachio ,L Box),"
€40,22
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-halep-l-kutu--c66e-4.jpg
"Baklava, Halep Kadayif with Pistachio L Box",,"
€51,71
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-halep-xl-kutu--1ccf2e.jpg
